"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSCondition","EHDSCondition.stage","EHDSCondition.stage","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.15.11 - Stage","Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.","","","","","","","","","",,"preferred","e.g. TNM, ICD-O-3","","",,,,"EHDSCondition.stage",0,*,"",""
"EHDSDevice","EHDSDevice","EHDSDevice","","","",0,*,"","","","null {[]} {[]}
","Device (model)","C.12 - EHDS refined base model for Device information","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDevice","EHDSDevice.identifier","EHDSDevice.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","C.12.1 - Identifier","An identifier of the device which is unique within in a defined scope. Multiple identifiers can be used.","","","","","","","","","",,,,,"",,,,"EHDSDevice.identifier",1,*,"",""
"EHDSDevice","EHDSDevice.manufacturer","EHDSDevice.manufacturer","","","",0,1,"","","","string {[]} {[]}
","C.12.2 - Manufacturer","Name of device manufacturer","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufacturer",0,1,"",""
"EHDSDevice","EHDSDevice.manufactureDate","EHDSDevice.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.12.3 - Manufacture date","The date and time when the device was manufactured","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufactureDate",0,1,"",""
"EHDSDevice","EHDSDevice.expiryDate","EHDSDevice.expiryDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.12.4 - Expiry date","The date and time beyond which this device is no longer valid or should not be used (if applicable).","","","","","","","","","",,,,,"",,,,"EHDSDevice.expiryDate",0,1,"",""
"EHDSDevice","EHDSDevice.lotNumber","EHDSDevice.lotNumber","","","",0,1,"","","","string {[]} {[]}
","C.12.5 - Lot number","Lot number of manufacture","","","","","","","","","",,,,,"",,,,"EHDSDevice.lotNumber",0,1,"",""
"EHDSDevice","EHDSDevice.serialNumber","EHDSDevice.serialNumber","","","",0,1,"","","","string {[]} {[]}
","C.12.6 - Serial number","Serial number assigned by the manufacturer","","","","","","","","","",,,,,"",,,,"EHDSDevice.serialNumber",0,1,"",""
"EHDSDevice","EHDSDevice.name","EHDSDevice.name","","","",0,*,"","","","string {[]} {[]}
","C.12.7 - Name","The name and name type of the device as known to the manufacturer and/or patient","","","","","","","","","",,,,,"",,,,"EHDSDevice.name",0,*,"",""
"EHDSDevice","EHDSDevice.modelNumber","EHDSDevice.modelNumber","","","",0,1,"","","","string {[]} {[]}
","C.12.8 - Model number","The manufacturer's model number for the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.modelNumber",0,1,"",""
"EHDSDevice","EHDSDevice.version","EHDSDevice.version","","","",0,1,"","","","string {[]} {[]}
","C.12.9 - Version","The actual design of the device or software version running on the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.version",0,1,"",""
"EHDSDevice","EHDSDevice.type","EHDSDevice.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.12.10 - Type","Device type","","","","","","","","","",,"preferred","SNOMED CT, EMDN","","",,,,"EHDSDevice.type",0,*,"",""
"EHDSDevice","EHDSDevice.note","EHDSDevice.note","","","",0,*,"","","","Narrative {[]} {[]}
","C.12.11 - Note","Device notes and comments","","","","","","","","","",,,,,"",,,,"EHDSDevice.note",0,*,"",""
"EHDSHealthProfessional","EHDSHealthProfessional","EHDSHealthProfessional","","","",0,*,"","","","null {[]} {[]}
","Health professional (model)","C.2 - EHDS refined base model for Health professional (HP)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSHealthProfessional","EHDSHealthProfessional.identifierOfTheHp","EHDSHealthProfessional.identifierOfTheHp","","","",0,*,"","","","Identifier {[]} {[]}
","C.2.1 - Identifier of the HP","An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.identifierOfTheHp",0,*,"",""
"EHDSHealthProfessional","EHDSHealthProfessional.nameOfTheHp","EHDSHealthProfessional.nameOfTheHp","","","",1,1,"","","","HumanName {[]} {[]}
","C.2.2 - Name of the HP","Name of the health professional that has been treating or taking responsibility for the patient.[the structure of the name will be the same as for the patient (given name, family name / surname)]","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.nameOfTheHp",1,1,"",""
"EHDSHealthProfessional","EHDSHealthProfessional.address","EHDSHealthProfessional.address","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAddress {[]} {[]}
","C.2.3 - Address","Mailing and home or office addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.address",0,1,"",""
"EHDSHealthProfessional","EHDSHealthProfessional.telecom","EHDSHealthProfessional.telecom","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSTelecom {[]} {[]}
","C.2.4 - Telecom","Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.telecom",0,*,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole","EHDSHealthProfessionalRole","","","",0,*,"","","","null {[]} {[]}
","Health professional role (model)","C.4 - EHDS refined base model for Role and location details associated with a practitioner that are applicable to the healthcare event.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole.identifier","EHDSHealthProfessionalRole.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.4.1 - Identifier","Health professional role identifier","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessionalRole.identifier",0,*,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole.roleOfTheHp","EHDSHealthProfessionalRole.roleOfTheHp","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.4.2 - Role of the HP","Health professional role. Multiple roles could be provided.","","","","","","","","","",,"preferred","ISCO, SNOMED CT","","",,,,"EHDSHealthProfessionalRole.roleOfTheHp",0,*,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole.healthProfessional","EHDSHealthProfessionalRole.healthProfessional","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice]]}
","C.4.3 - Health professional","Practitioner that provides services for the organization","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessionalRole.healthProfessional",0,1,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole.organization","EHDSHealthProfessionalRole.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization]]}
","C.4.4 - Organization","The organization where this role is available","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessionalRole.organization",0,1,"",""
"EHDSHealthProfessionalRole","EHDSHealthProfessionalRole.specialty","EHDSHealthProfessionalRole.specialty","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.4.5 - Specialty","The specialty of a practitioner that describes the functional role they are practicing at a given organization","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessionalRole.specialty",0,*,"",""
"EHDSLaboratoryObservation","EHDSLaboratoryObservation","EHDSLaboratoryObservation","","","",0,*,"","","","null {[]} {[]}
","Laboratory observation (model)","C.11 - EHDS refined base model for Observation performed by laboratory","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
